title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Constantinos the Great Beach Hotel,Wypoczynek Cypr: Cypr południowy,Cypr, Cypr południowy,5.0,4.7,7,22.11.2023,5,Katowice,Śniadania i obiadokolacje,2342.0,2642.0
Grand Belish Resort & SPA,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,5.3,24,07.05.2023,8,Warszawa Chopin,All inclusive,2342.0,
Voya Beach Resort,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,5.0,,0,05.09.2023,4,Warszawa Chopin,Ultra All Inclusive,2351.0,
Lella Beya & Thalasso,Wypoczynek Tunezja: Nabul,Tunezja, Nabul,4.0,6.0,1,15.06.2023,4,Wrocław,All inclusive,2353.0,
Clara,Wypoczynek Grecja: Lesbos,Grecja, Lesbos,3.5,4.7,59,27.09.2023,8,Katowice,All inclusive,2358.0,
Batihan Beach Resort & Spa,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,4.0,5.1,66,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,2361.0,
Rosa Beach Thalasso & Spa,Wypoczynek Tunezja: Monastyr,Tunezja, Monastyr,4.0,4.9,156,28.09.2023,4,Katowice,All inclusive,2362.0,
Bonapart Sealine Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,5.8,9,13.05.2023,8,Wrocław,All inclusive,2366.0,
Lonicera City Kleopatra,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,5.4,34,13.05.2023,8,Wrocław,All inclusive,2368.0,
Side Star Beach,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.9,7,09.12.2023,8,Katowice,All inclusive,2377.0,2877.0
Buongiorno Firenze!,Objazd Włochy: Toskania,Włochy, Toskania,,,0,19.10.2023,5,Warszawa Chopin,Śniadania,2397.0,
Kassandra Apartments,Wypoczynek Grecja: Rodos,Grecja, Rodos,2.0,4.4,44,02.10.2023,8,Katowice,Bez wyżywienia,2403.0,
Sphinx Aqua Park Beach Resort,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,4.0,3.2,7,17.12.2023,5,Katowice,All inclusive,2405.0,2605.0
King Tut Aqua Park Beach Resort,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,4.0,3.9,52,17.12.2023,5,Katowice,All inclusive,2405.0,2605.0
"Odpocznij w Albanii, Monte Carlo Vlora ALV",Objazd + wypoczynek Albania: Vlora,Albania, Vlora,,,0,16.06.2023,8,Poznań,Śniadania i obiadokolacje,2411.0,
Zante Village,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,4.6,295,03.10.2023,4,Katowice,All inclusive,2411.0,
Gravity Sahl Hasheesh (ex Ocean Breeze),Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,5.1,93,17.12.2023,5,Katowice,All inclusive,2411.0,2761.0
Manolya,Wypoczynek Cypr Północny: Kyrenia,Cypr Północny, Kyrenia,3.0,5.2,3,06.05.2023,8,Katowice,Śniadania,2413.0,
Parthenon Art Hotel Executive Wing,Wypoczynek Grecja: Riwiera Olimpijska,Grecja, Riwiera Olimpijska,3.0,,0,30.09.2023,8,Katowice,Śniadania,2414.0,
Jeravi Alexandria Club,Wypoczynek Bułgaria,Bułgaria,,4.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,2414.0,
Yavor Palace,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,4.0,57,06.06.2023,8,Warszawa Chopin,All inclusive,2379.0,
Daskalos Complex,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.5,4.8,126,03.06.2023,8,Katowice,Bez wyżywienia,2379.0,
