title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Madera - Festiwal wiecznej wiosny,Objazd + wypoczynek Portugalia: Madera,Portugalia, Madera,,5.2,80,16.12.2023,8,Katowice,Śniadania i obiadokolacje,3908.0,4308.0
Włochy ze szczyptą Monako,Objazd Włochy i Księstwo Monako,Włochy i Księstwo Monako,,,4.8,28,30.09.2023,8,Warszawa Chopin,Śniadania,3909.0,
IC Hotels Santai Family Resort,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,,0,22.10.2023,8,Wrocław,Ultra All Inclusive,3913.0,
Hovima Jardin Caleta,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,3.0,5.7,10,14.12.2023,8,Katowice,Śniadania i obiadokolacje,3914.0,4264.0
Hovima Panorama,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,3.0,,0,14.12.2023,8,Katowice,,3914.0,4264.0
Electra Palace,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,,0,05.05.2023,4,Katowice,All inclusive,3916.0,
Przygoda z szejkiem,Objazd Zjednoczone Emiraty Arabskie: Dubaj - Abu Dhabi - Szardża - Fujairah - Adżman,Zjednoczone Emiraty Arabskie, Dubaj - Abu Dhabi - Szardża - Fujairah - Adżman,,5.3,357,13.12.2023,8,Kraków,Śniadania,3918.0,4218.0
Aqua Blu Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,4.0,5.5,25,16.12.2023,8,Katowice,All inclusive,3920.0,4170.0
Jordania i Izrael z Aqaby,Objazd + wypoczynek Izrael i Jordania,Izrael i Jordania,,,5.4,35,11.12.2023,8,Katowice,Śniadania i obiadokolacje,3923.0,4223.0
W blasku mistycznego ognia,Objazd Azerbejdżan,Azerbejdżan,,,5.1,20,19.08.2023,8,Warszawa Chopin,Śniadania,3924.0,
Baia degli Dei,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,4.8,40,03.09.2023,8,Katowice,Śniadania i obiadokolacje,3936.0,
"Florencja & Mediolan - Z pasji do życia, z miłości do sztuki",Objazd Włochy: Toskania - Lombardia,Włochy, Toskania - Lombardia,,4.5,15,19.08.2023,8,Warszawa Chopin,Śniadania,3939.0,
Malta - wyspiarskie państwo-miasto,Objazd Malta: Gozo,Malta, Gozo,,4.8,98,21.10.2023,6,Warszawa Chopin,Śniadania,3946.0,
Sheraton Hotel Rodos,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,,0,05.05.2023,4,Katowice,Śniadania i obiadokolacje,3947.0,
Steigenberger Pure Lifestyle,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,6.0,12,17.12.2023,5,Katowice,All inclusive,3953.0,4253.0
Egzotyka Light – Emiraty Arabskie (ex. Dubaj Jest Naj),Objazd + wypoczynek Zjednoczone Emiraty Arabskie: Dubaj - Abu Dhabi,Zjednoczone Emiraty Arabskie, Dubaj - Abu Dhabi,,5.4,181,13.12.2023,4,Kraków,Śniadania,3959.0,4209.0
Mojacar Playa Aquapark,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.0,,0,05.06.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3961.0,
Crowne Plaza Dead Sea,Wypoczynek Jordania: Morze Martwe,Jordania, Morze Martwe,5.0,,0,11.12.2023,8,Katowice,Śniadania i obiadokolacje,3961.0,4211.0
Riu Tikida Palace Agadir,Wypoczynek Maroko: Agadir,Maroko, Agadir,5.0,5.5,20,15.12.2023,8,Katowice,All inclusive,3969.0,4469.0
Dessole Malia Beach,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,4.0,5.5,62,14.05.2023,8,Poznań,All inclusive,3970.0,
Santa Lucia e le Sabbie d'Oro,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,5.0,120,11.06.2023,8,Katowice,HB Plus,3977.0,
Hiszpańskie El Clasico,Objazd + wypoczynek Hiszpania: Madryt - Costa Brava - Costa del Sol - Costa Blanca,Hiszpania, Madryt - Costa Brava - Costa del Sol - Costa Blanca,,5.2,207,13.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3979.0,
Włochy dla wygodnych (przylot do Lamezii - powrót autokarem),Objazd Włochy: Lacjum - Toskania - Wenecja Euganejska - Kampania - Capri,Włochy, Lacjum - Toskania - Wenecja Euganejska - Kampania - Capri,,4.5,25,01.10.2023,9,Katowice/,Śniadania,3981.0,
Ammon Zeus,Wypoczynek Grecja: Chalkidiki,Grecja, Chalkidiki,5.0,5.6,9,30.09.2023,8,Katowice,Śniadania,3988.0,
Royal Dragon,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.8,5,06.05.2023,8,Wrocław,Ultra All Inclusive,3990.0,
Jaz Lamaya,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,5.5,53,30.05.2023,5,Warszawa Chopin,All inclusive,3991.0,
African Village,Wypoczynek Gambia: Banjul,Gambia, Banjul,3.0,5.0,1,08.12.2023,8,Warszawa Chopin,Śniadania,3994.0,4694.0
Albatros Laguna Vista Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.7,3,16.12.2023,8,Katowice,All inclusive,3998.0,4298.0
Royal Albatros Moderna,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.7,42,16.12.2023,8,Katowice,All inclusive,3998.0,4298.0
Jolie Ville Golf&Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,3.6,12,16.12.2023,8,Katowice,All inclusive,3998.0,4298.0
Albatros Palace Sharm (ex. Pickalbatros Cyrene Grand),Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.3,27,16.12.2023,8,Katowice,All inclusive,3998.0,4298.0
Best Indalo,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.0,5.5,1,18.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4001.0,
Jaz Belvedere,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.6,11,16.12.2023,8,Katowice,All inclusive,4002.0,4302.0
Hotel Panoramic,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,5.8,2,18.06.2023,8,Katowice,Śniadania,4004.0,
Royal Castle,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,5.0,,0,12.09.2023,8,Gdańsk,All inclusive,4004.0,
MedPlaya Balmoral,Wypoczynek Hiszpania: Costa del Sol,Hiszpania, Costa del Sol,3.0,6.0,1,09.10.2023,8,Katowice,Śniadania i obiadokolacje,4008.0,
Bahia Principe Sunlight Coral Playa,Wypoczynek Hiszpania: Majorka,Hiszpania, Majorka,4.0,4.5,1,04.10.2023,8,Poznań,Śniadania i obiadokolacje,4013.0,
Sabbiadoro,Wypoczynek Włochy: Kampania,Włochy, Kampania,4.0,4.7,120,24.09.2023,8,Katowice,Full Board Plus,4021.0,
Grifid Encanto Beach,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,,0,12.09.2023,8,Wrocław,Ultra All Inclusive,4028.0,
Carine Hotel Kumbor,Wypoczynek Czarnogóra,Czarnogóra,,5.0,,0,28.09.2023,8,Warszawa Chopin,All inclusive,4030.0,
Poggio di Tropea,Wypoczynek Włochy: Kalabria,Włochy, Kalabria,3.0,4.9,61,10.09.2023,8,Katowice,All Inclusive light,4033.0,
Hotel Torre Ruffa Robinson,Wypoczynek Włochy: Kalabria,Włochy, Kalabria,3.0,5.4,42,24.09.2023,8,Katowice,Śniadania i obiadokolacje,4036.0,
Cretan Dream Royal,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,5.0,5.7,5,08.10.2023,8,Katowice,Śniadania,4037.0,
Puerto Antilla Grand hotel,Wypoczynek Hiszpania: Costa de la Luz,Hiszpania, Costa de la Luz,4.5,5.6,21,02.10.2023,8,Katowice,Śniadania,4040.0,
Vila Gale Atlantico,Wypoczynek Portugalia,Portugalia,,3.0,,0,02.10.2023,8,Katowice,Śniadania,4043.0,
Egipt i Jordania - dwa oblicza Bliskiego Wschodu,Objazd + wypoczynek Egipt i Jordania,Egipt i Jordania,,,5.3,35,16.12.2023,8,Katowice,Śniadania i obiadokolacje,4045.0,4345.0
Hiszpania i Portugalia,Objazd + wypoczynek Hiszpania i Portugalia,Hiszpania i Portugalia,,,5.2,207,08.05.2023,8,Katowice,Śniadania i obiadokolacje,4046.0,
Papillon Belvil,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.5,6,16.12.2023,8,Katowice,Ultra All Inclusive,4047.0,4647.0
Sunu,Wypoczynek Gambia,Gambia,,3.0,,0,15.12.2023,8,Warszawa Chopin,Śniadania,4047.0,4847.0
Da Peppe,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,4.7,49,10.09.2023,8,Katowice,Śniadania i obiadokolacje,4048.0,
Alua Soul Zakynthos,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,4.0,,0,12.05.2023,8,Poznań,All inclusive,4052.0,
Magic World Sharm - Club by Jaz,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,,0,16.12.2023,8,Katowice,All inclusive,4056.0,4356.0
Alua Village,Wypoczynek Hiszpania: Fuerteventura,Hiszpania, Fuerteventura,4.0,5.1,11,11.12.2023,8,Katowice,All inclusive,4059.0,4459.0
Fuerte el Rompido,Wypoczynek Hiszpania: Costa de la Luz,Hiszpania, Costa de la Luz,4.0,,0,02.10.2023,8,Katowice,Śniadania,4060.0,
Splendid Dubrovnik,Wypoczynek Chorwacja: Dubrownik - Dubrovnik,Chorwacja, Dubrownik - Dubrovnik,3.0,,0,28.09.2023,8,Warszawa Chopin,Śniadania,4061.0,
La Plage Noire,Wypoczynek Włochy: Sardynia,Włochy, Sardynia,4.0,4.2,60,21.06.2023,8,Warszawa Chopin,All Inclusive Soft,4061.0,
Egipt - wzdłuż Nilu,Objazd + wypoczynek Egipt: Hurghada,Egipt, Hurghada,,5.4,239,14.12.2023,11,Katowice,,4063.0,4413.0
LABRANDA Costa Mogan,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,5.0,87,12.12.2023,8,Katowice,Śniadania i obiadokolacje,4064.0,4464.0
Titanic Mardan Palace,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,6.0,1,16.12.2023,8,Katowice,All inclusive,4073.0,4673.0
Hotel Antares,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,,0,24.09.2023,8,Katowice,Śniadania,4074.0,
Nicolaus Club Baia delle Mimose (ex. Baia delle Mimose),Wypoczynek Włochy: Sardynia,Włochy, Sardynia,4.0,4.4,6,13.09.2023,8,Warszawa Chopin,All Inclusive Soft,4075.0,
MedPlaya Bali,Wypoczynek Hiszpania: Costa del Sol,Hiszpania, Costa del Sol,3.0,,0,09.10.2023,8,Katowice,Śniadania,4076.0,
Kefalonia na mezedes,Objazd + wypoczynek Grecja: Zakynthos - Kefalonia,Grecja, Zakynthos - Kefalonia,,,0,13.06.2023,8,Łódź,Śniadania,4079.0,
Salmakis Resort & Spa,Wypoczynek Turcja,Turcja,,5.0,5.4,22,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,4080.0,
Intercontinental Aqaba Resort,Wypoczynek Jordania: Aqaba,Jordania, Aqaba,5.0,,0,11.12.2023,8,Katowice,Śniadania,4081.0,4381.0
Lemon Creek,Wypoczynek Gambia: Banjul,Gambia, Banjul,3.0,5.5,1,15.12.2023,8,Warszawa Chopin,Śniadania,4086.0,4886.0
Kriti Beach,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,5.0,,0,08.10.2023,8,Katowice,Śniadania i obiadokolacje,4092.0,
Algara Beach,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,5.9,4,12.09.2023,8,Wrocław,Ultra All Inclusive,4097.0,
Hiszpania - Od Andalus do Andaluzji,Objazd + wypoczynek Hiszpania: Costa del Sol,Hiszpania, Costa del Sol,,5.2,212,15.05.2023,8,Katowice,Śniadania i obiadokolacje,4102.0,
Hotel delle Palme,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,4.2,22,18.06.2023,8,Katowice,HB Plus,4104.0,
Kombo Beach Hotel,Wypoczynek Gambia: Banjul,Gambia, Banjul,4.0,4.9,27,15.12.2023,8,Warszawa Chopin,Śniadania,4121.0,4921.0
W krainie orłów,"Objazd + wypoczynek Albania, Macedonia, Grecja","Albania, Macedonia, Grecja",,,5.0,136,17.06.2023,8,Gdańsk,Śniadania i obiadokolacje,4122.0,
Grifid Vistamar,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,,0,12.09.2023,8,Wrocław,Ultra All Inclusive,4127.0,
Wind Rose,Wypoczynek Czarnogóra: Bar,Czarnogóra, Bar,4.0,,0,25.05.2023,8,Katowice,Śniadania i obiadokolacje,4127.0,
LABRANDA Golden Beach Hotel,Wypoczynek Hiszpania: Fuerteventura,Hiszpania, Fuerteventura,3.5,4.3,6,19.10.2023,8,Katowice,Śniadania i obiadokolacje,4127.0,
Sycylia i Malta,Objazd + wypoczynek Malta i Włochy,Malta i Włochy,,,4.8,197,28.05.2023,8,Warszawa Chopin,Śniadania,4129.0,
Design Plus Bex Hotel,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,5.3,7,23.06.2023,9,Warszawa Chopin,Śniadania,4130.0,
Portugalia od deski do deski,Objazd + wypoczynek Portugalia: Algarve - Lizbona,Portugalia, Algarve - Lizbona,,5.3,335,12.05.2023,9,Warszawa Chopin,Wg programu imprezy,4130.0,
Aminess Grand Azure,Wypoczynek Chorwacja: Orebić,Chorwacja, Orebić,4.5,5.3,71,28.09.2023,8,Warszawa Chopin,All inclusive,4130.0,
The Costa Taurito,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,5.2,77,12.12.2023,8,Katowice,All inclusive,4132.0,4532.0
Limak Arcadia Sport&Resort,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,,0,21.10.2023,8,Katowice,Ultra All Inclusive,4143.0,
Gran Fiesta,Wypoczynek Hiszpania: Majorka,Hiszpania, Majorka,4.0,5.3,4,14.05.2023,8,Katowice,Śniadania,4148.0,
Occidental Playa De Palma,Wypoczynek Hiszpania: Majorka,Hiszpania, Majorka,4.0,,0,14.05.2023,8,Katowice,"Śniadania, obiady i kolacje",4149.0,
Holiday Beach Club,Wypoczynek Gambia: Banjul,Gambia, Banjul,3.0,4.3,43,15.12.2023,8,Warszawa Chopin,Śniadania,4156.0,4956.0
Capo Peloro Hotel & Resort,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,5.0,1,18.06.2023,8,Katowice,Śniadania i obiadokolacje,4167.0,
Szwajcaria naturalnie,Objazd Szwajcaria,Szwajcaria,,,,0,09.06.2023,9,Warszawa Chopin,Śniadania,4169.0,
Michelangelo Resort & SPA,Wypoczynek Grecja: Kos,Grecja, Kos,5.0,5.8,2,07.10.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4179.0,
Admiral,Wypoczynek Chorwacja: Dubrownik,Chorwacja, Dubrownik,5.0,5.5,44,04.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4180.0,
Nike hotel,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,,0,18.06.2023,8,Katowice,Śniadania,4184.0,
Domina Aquamarine Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,,0,20.05.2023,8,Katowice,All inclusive,4185.0,
Spacer w chmurach - Alpejskie cuda natury,Objazd Włochy: Lombardia - Vall d’Aosta,Włochy, Lombardia - Vall d’Aosta,,4.8,9,14.10.2023,8,Warszawa Chopin,Śniadania,4192.0,
Pod Słońcem Kampanii!,Objazd + wypoczynek Włochy: Kampania,Włochy, Kampania,,,0,18.06.2023,8,Katowice,Śniadania,4192.0,
Albatros Aqua Park Sharm,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.4,4,16.12.2023,8,Katowice,All inclusive,4198.0,4498.0
Akasha Beach Hotel & Spa,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,5.0,6.0,1,08.10.2023,8,Katowice,Śniadania i obiadokolacje,4199.0,
Co wyrosło na wulkanie - Cyklady,Objazd Grecja: Santorini - Mykonos - Naxos,Grecja, Santorini - Mykonos - Naxos,,5.3,147,02.10.2023,8,Warszawa Chopin,Śniadania,4200.0,
Azul Beach Resort Montenegro,Wypoczynek Czarnogóra: Ulcinj - Podgorica,Czarnogóra, Ulcinj - Podgorica,4.0,4.9,91,01.06.2023,8,Poznań,Ultra All Inclusive,4209.0,
Bamboo Garden,Wypoczynek Gambia: Banjul,Gambia, Banjul,3.0,3.7,39,15.12.2023,8,Warszawa Chopin,Śniadania,4217.0,5017.0
Hotel Tourist,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,,0,03.09.2023,8,Katowice,Śniadania,4222.0,
Fenickie dzieła,Objazd Liban,Liban,,,5.0,75,26.08.2023,9,Warszawa Chopin,Śniadania,4226.0,
Riu Tikida Palace Taghazout,Wypoczynek Maroko: Agadir,Maroko, Agadir,5.0,5.5,19,15.12.2023,8,Katowice,All inclusive,4228.0,4728.0
"Gruzja, Armenia - Ormiański Świat",Objazd Gruzja i Armenia,Gruzja i Armenia,,,5.1,175,20.06.2023,8,Warszawa Chopin,Wg programu imprezy,4229.0,
Bluesun Berulia,Wypoczynek Chorwacja,Chorwacja,,5.0,6.0,4,28.09.2023,8,Warszawa Chopin,Śniadania,4229.0,
Evenia Zoraida Beach Resort,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.5,5.3,140,02.10.2023,8,Warszawa Chopin,All inclusive,4230.0,
Hotel Arathena Rocks,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,6.0,1,18.06.2023,8,Katowice,Śniadania,4233.0,
Caesar Palace,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,4.8,13,24.09.2023,8,Katowice,Śniadania,4240.0,
Pestana Viking,Wypoczynek Portugalia: Algarve,Portugalia, Algarve,4.5,5.3,20,02.10.2023,8,Katowice,Śniadania,4241.0,
Labranda Senses Resort,Wypoczynek Chorwacja: Hvar,Chorwacja, Hvar,4.0,5.5,65,22.06.2023,8,Katowice,All inclusive,4242.0,
Steigenberger Ras Soma,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,6.0,1,17.12.2023,5,Katowice,All inclusive,4244.0,4544.0
Stambuł - na styku kontynentów,Objazd + wypoczynek Turcja i Grecja,Turcja i Grecja,,,4.6,9,27.09.2023,8,Katowice,Śniadania i obiadokolacje,4245.0,
Capo Calava,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,4.8,47,28.05.2023,8,Warszawa Chopin,All Inclusive light,4251.0,
Mirage Bab Al Bahr Beach Hotel ( ex. Mirage Bab Al Bahr Tower & Resort),Wypoczynek Zjednoczone Emiraty Arabskie: Fujairah,Zjednoczone Emiraty Arabskie, Fujairah,5.0,5.8,3,22.11.2023,8,Kraków,Śniadania,4253.0,4503.0
Maroko - Pustynny Offroad,Objazd + wypoczynek Maroko: Marrakesz-Safi - Agadir,Maroko, Marrakesz-Safi - Agadir,,5.6,25,15.12.2023,8,Katowice,Wg programu imprezy,4257.0,4507.0
Kiani Beach,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,5.0,5.1,338,01.10.2023,8,Wrocław,All inclusive,4262.0,
Dom Jose,Wypoczynek Portugalia: Algarve,Portugalia, Algarve,3.0,5.8,3,02.10.2023,8,Katowice,Śniadania,4263.0,
IBEROSTAR Bouganville Playa,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,4.5,5.0,21,14.12.2023,8,Katowice,Śniadania i obiadokolacje,4264.0,4664.0
Ixian Grand,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,4.5,1,12.05.2023,4,Katowice,All inclusive,4268.0,
Ocean Bay,Wypoczynek Gambia: Banjul,Gambia, Banjul,5.0,4.4,27,15.12.2023,8,Warszawa Chopin,Śniadania,4276.0,5076.0
Uvala,Wypoczynek Chorwacja: Dubrownik - Dubrovnik,Chorwacja, Dubrownik - Dubrovnik,4.0,5.0,1,28.09.2023,8,Warszawa Chopin,Śniadania,4280.0,
Zante Maris Suites,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,5.0,,0,05.05.2023,8,Katowice,Śniadania,4280.0,
Pestana Village & Miramar Garden Resort,Wypoczynek Portugalia: Madera,Portugalia, Madera,4.0,5.6,6,16.12.2023,8,Katowice,Śniadania i obiadokolacje,4280.0,4680.0
Occidental Las Palmas,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,,0,12.12.2023,8,Katowice,Śniadania,4291.0,4691.0
Rethymno Mare Royal,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,5.0,,0,08.10.2023,8,Katowice,Śniadania i obiadokolacje,4297.0,
Millenium Place Marina,Wypoczynek Zjednoczone Emiraty Arabskie: Dubaj,Zjednoczone Emiraty Arabskie, Dubaj,4.0,5.9,13,30.08.2023,8,Kraków,Śniadania,4306.0,
Blu Hotel Laconia Village,Wypoczynek Włochy: Sardynia,Włochy, Sardynia,4.0,5.3,3,13.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4310.0,
Stella Di Mare Beach & Spa Sharm el Sheikh,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.5,5,16.12.2023,8,Katowice,All inclusive,4312.0,4612.0
Limak Atlantis Deluxe Hotel&Resort,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,6.0,1,21.10.2023,8,Katowice,Ultra All Inclusive,4314.0,
Minoa Palace,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,5.0,,0,08.10.2023,8,Katowice,Śniadania,4315.0,
IC Hotels Green Palace,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.5,1,22.10.2023,8,Wrocław,All inclusive,4315.0,
Estella Club,Wypoczynek Włochy: Kalabria,Włochy, Kalabria,4.0,4.0,1,04.06.2023,8,Katowice,HB Plus,4316.0,
Club Esse Roccaruja,Wypoczynek Włochy: Sardynia,Włochy, Sardynia,4.0,4.5,4,20.09.2023,8,Warszawa Chopin,Full Board Plus,4323.0,
Ormiański świat z Kutaisi,Objazd + wypoczynek Gruzja i Armenia,Gruzja i Armenia,,,5.2,10,10.10.2023,8,Katowice,Wg programu imprezy,4325.0,
LABRANDA Apartamenty Reveron,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,3.0,,0,15.06.2023,8,Poznań,Śniadania,4330.0,
Vogue Hotel Supreme,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,5.3,2,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,4330.0,
Uroki Morza Śródziemnego,"Objazd + wypoczynek Hiszpania, Francja, Księstwo Monako, Andora","Hiszpania, Francja, Księstwo Monako, Andora",,,5.1,196,30.09.2023,8,Katowice,Śniadania,4330.0,
Sycylia - Wyspa Niezwykła,Objazd + wypoczynek Włochy: Sycylia,Włochy, Sycylia,,5.0,426,13.08.2023,8,Katowice,Śniadania,4330.0,
Mirador Maspalomas by Dunas,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,3.5,5.4,9,12.12.2023,8,Katowice,All inclusive,4330.0,4730.0
W służbie Jego Królewskiej Mości - samolotem,Objazd Wielka Brytania: Szkocja,Wielka Brytania, Szkocja,,,0,17.06.2023,8,Katowice,Śniadania,4331.0,
Kreta i Santorini - Egejskie Perły,Objazd + wypoczynek Grecja: Kreta - Heraklion - Kreta - Chania,Grecja, Kreta - Heraklion - Kreta - Chania,,4.9,29,07.05.2023,9,Poznań,Śniadania,4337.0,
Metzy,Wypoczynek Gambia: Banjul,Gambia, Banjul,4.0,,0,15.12.2023,8,Warszawa Chopin,Śniadania,4338.0,5138.0
Acacia Resort,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,5.1,67,28.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4341.0,
Gran Canaria Princess,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,5.8,3,12.12.2023,8,Katowice,Śniadania i obiadokolacje,4350.0,4750.0
Carvoeiro Hotel,Wypoczynek Portugalia: Algarve,Portugalia, Algarve,4.0,4.8,20,14.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4351.0,
Barcelo Cabo de Gata,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.5,5.7,3,22.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,4351.0,
Sol Timor,Wypoczynek Hiszpania: Costa del Sol,Hiszpania, Costa del Sol,3.0,,0,23.10.2023,8,Warszawa Chopin,Bez wyżywienia,4351.0,
Liban - zobacz i odpocznij,Objazd + wypoczynek Liban,Liban,,,4.0,2,07.10.2023,8,Warszawa Chopin,Śniadania,4356.0,
Lesante Blu Exclusive Beach Resort,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,5.0,,0,02.05.2023,8,Warszawa Chopin,Śniadania,4360.0,
VOI ARENELLA RESORT,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,4.0,4,24.09.2023,8,Katowice,HB Plus,4374.0,
Gloria Verde Resort,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,6.0,1,16.12.2023,8,Katowice,All inclusive,4381.0,4681.0
Labranda Corralejo Village,Wypoczynek Hiszpania: Fuerteventura,Hiszpania, Fuerteventura,4.0,5.7,5,19.10.2023,8,Katowice,All inclusive,4383.0,
Estival Islantilla,Wypoczynek Hiszpania: Costa de la Luz,Hiszpania, Costa de la Luz,4.5,,0,18.09.2023,8,Katowice,All inclusive,4386.0,
Le Dune Beach Club,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,4.5,6,11.06.2023,8,Katowice,All inclusive,4389.0,
Baia Lara Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.3,3,21.10.2023,8,Katowice,Ultra All Inclusive,4397.0,
Cesarskie Miasta Premium,Objazd + wypoczynek Maroko: Agadir,Maroko, Agadir,,5.2,11,15.12.2023,8,Katowice,Śniadania i obiadokolacje,4401.0,4901.0
Valamar Argosy,Wypoczynek Chorwacja,Chorwacja,,4.0,,0,28.09.2023,8,Warszawa Chopin,Śniadania,4401.0,
IBEROSTAR Bellevue,Wypoczynek Czarnogóra: Budva,Czarnogóra, Budva,4.5,5.5,200,18.05.2023,8,Warszawa Chopin,All inclusive,4401.0,
Przygoda z szejkiem Premium,Objazd Zjednoczone Emiraty Arabskie: Dubaj - Abu Dhabi - Szardża - Fujairah - Adżman,Zjednoczone Emiraty Arabskie, Dubaj - Abu Dhabi - Szardża - Fujairah - Adżman,,5.4,9,20.09.2023,8,Kraków,Śniadania,4403.0,
Bahia Principe Sunlight San Felipe,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,4.0,,0,15.06.2023,8,Poznań,Śniadania i obiadokolacje,4403.0,
